City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Reforma,MX,2021-02-05 00:33:31,18.1,-91.0167,70.11,71,0,3.8
68,Kalabo,ZM,2021-02-05 00:32:31,-14.97,22.6814,67.05,90,100,2.62
69,Cotonou,BJ,2021-02-05 00:32:09,6.3654,2.4183,84.2,84,40,12.66
70,Kaitangata,NZ,2021-02-05 00:28:30,-46.2817,169.8464,57.99,70,28,15.99
71,Fortuna,US,2021-02-05 00:32:54,40.5982,-124.1573,53.01,66,1,11.5
72,Kitui,KE,2021-02-05 00:34:20,-1.367,38.0106,61.12,83,5,1.9
73,Samarai,PG,2021-02-05 00:34:21,-10.6167,150.6667,84.38,68,18,2.62
74,Yar-Sale,RU,2021-02-05 00:34:21,66.8333,70.8333,-21.66,87,6,6.64
75,Hualmay,PE,2021-02-05 00:28:16,-11.0964,-77.6139,71.29,77,93,6.15
76,Daugavpils,LV,2021-02-05 00:34:21,55.8833,26.5333,8.35,95,29,5.88
77,Dalbandin,PK,2021-02-05 00:34:21,28.8947,64.4101,43.75,50,0,4.61
78,Kapaa,US,2021-02-05 00:31:43,22.0752,-159.319,71.6,60,20,14.97
79,Atuona,PF,2021-02-05 00:28:09,-9.8,-139.0333,78.55,71,25,10.8
80,Clyde River,CA,2021-02-05 00:32:39,70.4692,-68.5914,-18.4,76,90,14.97
81,Mountain Home,US,2021-02-05 00:34:22,43.133,-115.6912,41.0,52,75,10.36
82,Minot,US,2021-02-05 00:34:22,48.2325,-101.2963,5.0,66,1,18.41
83,Sur,OM,2021-02-05 00:34:22,22.5667,59.5289,64.89,70,0,4.38
84,Kodiak,US,2021-02-05 00:31:46,57.79,-152.4072,33.8,69,1,2.71
85,Upernavik,GL,2021-02-05 00:32:38,72.7868,-56.1549,-6.54,70,97,4.74
86,Bonthe,SL,2021-02-05 00:34:23,7.5264,-12.505,77.45,86,0,6.31
87,Waipawa,NZ,2021-02-05 00:32:44,-41.4122,175.5153,60.01,77,90,19.57
88,Bubaque,GW,2021-02-05 00:34:23,11.2833,-15.8333,77.38,68,17,14.12
89,Maymyo,MM,2021-02-05 00:34:23,22.0333,96.4667,53.6,82,40,3.49
90,Fayaoue,NC,2021-02-05 00:34:24,-20.65,166.5333,80.49,82,3,16.87
91,Kiama,AU,2021-02-05 00:32:25,-34.6833,150.8667,82.0,72,82,4.0
92,Nicoya,CR,2021-02-05 00:34:25,10.1483,-85.452,80.6,57,0,16.11
93,Ca Mau,VN,2021-02-05 00:32:25,9.1769,105.15,78.64,71,21,8.01
94,Naze,JP,2021-02-05 00:32:03,28.3667,129.4833,64.4,59,20,3.44
95,Oktyabrskiy,RU,2021-02-05 00:34:25,54.4815,53.471,34.02,95,100,8.05
96,Palmer,US,2021-02-05 00:27:05,42.1584,-72.3287,32.0,59,20,3.44
97,Lavrentiya,RU,2021-02-05 00:32:58,65.5833,-171.0,-7.65,88,100,20.0
98,Gobabis,NA,2021-02-05 00:34:26,-22.45,18.9667,70.14,72,23,10.92
99,Kruisfontein,ZA,2021-02-05 00:27:06,-34.0033,24.7314,64.0,93,0,2.71
100,Tual,ID,2021-02-05 00:34:26,-5.6667,132.75,82.83,80,100,25.14
101,Itoman,JP,2021-02-05 00:34:26,26.1247,127.6694,64.4,63,40,8.05
102,Mount Gambier,AU,2021-02-05 00:32:14,-37.8333,140.7667,59.0,82,75,17.27
103,Havelock,US,2021-02-05 00:33:10,34.8791,-76.9013,46.0,60,1,6.91
104,Verkhnyaya Inta,RU,2021-02-05 00:28:56,65.9811,60.3094,-4.58,90,68,10.49
105,Aksu,CN,2021-02-05 00:34:27,41.1231,80.2644,20.7,87,57,1.52
106,Tommot,RU,2021-02-05 00:34:27,58.9564,126.2925,-25.69,79,0,0.81
107,Sisimiut,GL,2021-02-05 00:31:09,66.9395,-53.6735,6.04,75,100,13.51
108,Waingapu,ID,2021-02-05 00:33:06,-9.6567,120.2641,82.69,77,100,12.24
109,Qingdao,CN,2021-02-05 00:34:28,36.0986,120.3719,42.01,75,0,13.42
110,Khatanga,RU,2021-02-05 00:31:57,71.9667,102.5,-30.68,78,0,9.22
