City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Terneuzen,NL,2021-02-06 17:51:54,51.2809,3.8392,39.99,82,100,10.0,overcast clouds
60,Butembo,CD,2021-02-06 17:46:57,0.15,29.2833,61.93,68,1,3.18,clear sky
61,Saint-Philippe,RE,2021-02-06 17:51:55,-21.3585,55.7679,80.6,83,40,4.61,light rain
62,Olafsvik,IS,2021-02-06 17:51:55,64.8945,-23.7142,36.27,78,100,17.54,overcast clouds
63,Inirida,CO,2021-02-06 17:51:55,3.8653,-67.9239,87.53,65,78,1.77,broken clouds
64,Punta Arenas,CL,2021-02-06 17:48:16,-53.15,-70.9167,55.4,47,20,6.91,few clouds
65,La Ronge,CA,2021-02-06 17:51:55,55.1001,-105.2842,-27.4,68,6,5.75,clear sky
66,Ilulissat,GL,2021-02-06 17:51:55,69.2167,-51.1,19.4,38,40,17.27,snow
67,Cidreira,BR,2021-02-06 17:51:55,-30.1811,-50.2056,76.57,62,60,9.66,broken clouds
68,Atambua,ID,2021-02-06 17:51:26,-9.1061,124.8925,73.47,89,100,0.89,overcast clouds
69,Hilo,US,2021-02-06 17:46:57,19.7297,-155.09,62.01,72,1,6.91,clear sky
70,Puerto Ayora,EC,2021-02-06 17:51:56,-0.7393,-90.3518,80.6,78,75,11.5,moderate rain
71,Vaini,TO,2021-02-06 17:49:36,-21.2,-175.2,73.4,94,75,10.36,broken clouds
72,Shumskiy,RU,2021-02-06 17:51:57,54.8318,99.1328,16.52,91,100,4.47,overcast clouds
73,Chuy,UY,2021-02-06 17:50:00,-33.6971,-53.4616,82.99,46,0,10.51,clear sky
74,Butaritari,KI,2021-02-06 17:51:57,3.0707,172.7902,81.01,81,94,21.7,light rain
75,Yerbogachen,RU,2021-02-06 17:51:57,61.2767,108.0108,-13.07,90,87,3.27,overcast clouds
76,Boca Do Acre,BR,2021-02-06 17:51:57,-8.7522,-67.3978,87.8,62,93,2.08,overcast clouds
77,Pascagoula,US,2021-02-06 17:51:58,30.3658,-88.5561,52.0,87,90,10.36,overcast clouds
78,Acapulco,MX,2021-02-06 17:47:01,16.8634,-99.8901,84.2,65,20,5.75,few clouds
79,Provideniya,RU,2021-02-06 17:51:58,64.3833,-173.3,1.67,91,76,4.65,broken clouds
80,Ust-Ilimsk,RU,2021-02-06 17:51:58,58.0006,102.6619,7.38,94,100,5.84,overcast clouds
81,Port Alfred,ZA,2021-02-06 17:51:58,-33.5906,26.891,73.99,91,25,9.26,scattered clouds
82,Bluff,NZ,2021-02-06 17:51:58,-46.6,168.3333,53.35,86,23,4.5,few clouds
83,Thinadhoo,MV,2021-02-06 17:51:59,0.5333,72.9333,81.79,75,51,13.78,broken clouds
84,Morondava,MG,2021-02-06 17:51:59,-20.2833,44.2833,83.46,76,96,5.1,light rain
85,Boende,CD,2021-02-06 17:50:03,-0.2167,20.8667,81.66,58,66,0.74,broken clouds
86,Hithadhoo,MV,2021-02-06 17:51:59,-0.6,73.0833,81.77,77,90,15.7,overcast clouds
87,Berlevag,NO,2021-02-06 17:51:59,70.8578,29.0864,26.55,94,100,24.16,light snow
88,Iqaluit,CA,2021-02-06 17:51:59,63.7506,-68.5145,23.0,86,90,10.36,overcast clouds
89,Karratha,AU,2021-02-06 17:51:59,-20.7377,116.8463,78.39,75,28,10.96,scattered clouds
90,Hermanus,ZA,2021-02-06 17:52:00,-34.4187,19.2345,71.01,82,33,1.99,scattered clouds
91,Mehamn,NO,2021-02-06 17:52:00,71.0357,27.8492,25.81,94,100,20.09,light snow
92,Basco,PH,2021-02-06 17:52:00,20.4487,121.9702,73.8,88,96,20.42,overcast clouds
93,Erenhot,CN,2021-02-06 17:52:00,43.6475,111.9767,2.25,83,0,1.72,clear sky
94,Cabo San Lucas,MX,2021-02-06 17:52:00,22.8909,-109.9124,77.0,60,1,8.05,clear sky
95,Bambous Virieux,MU,2021-02-06 17:49:08,-20.3428,57.7575,80.01,83,20,5.75,few clouds
96,Chokurdakh,RU,2021-02-06 17:52:00,70.6333,147.9167,-19.98,86,91,6.8,overcast clouds
97,Hambantota,LK,2021-02-06 17:52:00,6.1241,81.1185,77.74,84,86,17.52,overcast clouds
98,Kiruna,SE,2021-02-06 17:52:01,67.8557,20.2251,15.8,100,90,3.44,overcast clouds
99,Mar Del Plata,AR,2021-02-06 17:52:01,-38.0023,-57.5575,69.8,64,75,16.11,broken clouds
100,Bismarck,US,2021-02-06 17:52:01,46.8083,-100.7837,-7.6,54,1,14.97,clear sky
101,Khilok,RU,2021-02-06 17:52:01,51.3674,110.4676,-7.76,87,57,3.29,light snow
102,Bosaso,SO,2021-02-06 17:48:29,11.2842,49.1816,74.46,74,1,3.24,clear sky
103,Faanui,PF,2021-02-06 17:52:01,-16.4833,-151.75,81.45,70,0,10.33,light rain
104,San Isidro,PE,2021-02-06 17:52:02,-12.1167,-77.05,78.01,69,0,6.91,clear sky
105,Rudbar,AF,2021-02-06 17:52:02,30.15,62.6,61.79,23,0,10.85,clear sky
106,Kaeo,NZ,2021-02-06 17:52:02,-35.1,173.7833,60.01,92,93,4.0,overcast clouds
107,Rebrikha,RU,2021-02-06 17:52:02,53.0733,82.3408,24.55,97,26,11.72,scattered clouds
108,Nanortalik,GL,2021-02-06 17:50:43,60.1432,-45.2371,23.77,79,0,5.28,clear sky
109,Namibe,AO,2021-02-06 17:52:03,-15.1961,12.1522,72.81,78,30,11.56,scattered clouds
110,Yatou,CN,2021-02-06 17:52:03,37.15,122.3833,37.44,79,61,14.88,broken clouds
111,Arlit,NE,2021-02-06 17:52:03,18.7369,7.3853,73.54,17,96,6.29,overcast clouds
112,Khatanga,RU,2021-02-06 17:52:03,71.9667,102.5,-36.65,77,0,6.96,clear sky
113,Nizwa,OM,2021-02-06 17:52:03,22.9333,57.5333,58.51,43,0,5.26,clear sky
114,Guerrero Negro,MX,2021-02-06 17:52:03,27.9769,-114.0611,66.13,51,1,4.47,clear sky
115,Kamenka,RU,2021-02-06 17:52:03,51.3223,42.7678,16.0,82,100,13.02,overcast clouds
116,Kodiak,US,2021-02-06 17:52:04,57.79,-152.4072,28.4,59,1,4.61,clear sky
117,Kaspiyskiy,RU,2021-02-06 17:52:04,45.3929,47.3707,34.27,82,98,16.02,overcast clouds
